宜信普惠信息咨询（北京）有限公司 22/24
实践家管理咨询（上海）有限公司深圳分公司 1/1
实践家管理咨询（上海）有限公司合肥分公司 1/1
苏州创客邦孵化管理有限公司 4/4
宜信卓越财富投资管理（北京）有限公司 4/6
济南蓝海大饭店有限公司 7/7
上海亚新影视传媒有限公司 1/1
俊华科技发展（北京）有限公司 1/2
上海邦汇商业保理有限公司 2/571
广州晶东贸易有限公司 7/315
北京京东世纪信息技术有限公司 14/438
福建泓瑞泽供应链管理有限公司 1/3
阿里云计算有限公司 6/249
前锦网络信息技术（上海）有限公司 15/134
唐江控股集团股份有限公司 4/4
宜信博诚保险销售服务（北京）股份有限公司 1/2
金德精密配件（苏州）有限公司 1/4
上海市锦天城（深圳）律师事务所 1/4
安徽冠盛蓝玻实业有限公司 1/1
上海灵猴智能科技有限公司 1/1
湖北众城行商业服务有限公司 1/1
杭州天狗科技有限公司 1/1
深圳市宏绘画艺术教育有限公司 1/1
深圳市力通鑫实业有限公司 1/1
上海隆进船务有限公司 1/1
广东柏槿酒店管理有限公司 1/1
广州路通运输有限公司 1/1
陕西中毅达建筑装饰设计工程有限公司 1/1
沈阳蓝华环保科技有限公司 1/1
太原力鸿佰惠商贸有限公司 1/1
深圳家乐缘餐饮顾问有限公司桃园店 1/2
上海德誉供应链管理股份有限公司 1/2
广州市万科物业服务有限公司 1/8
阳光人寿保险股份有限公司 1/23
复星联合健康保险股份有限公司 1/59
北京众合天下管理咨询有限公司 1/38
中国国际技术智力合作集团有限公司 1/61
深圳市腾讯计算机系统有限公司 4/344
北京易才人力资源顾问有限公司 1/12
爱康健康科技集团有限公司 16/83
北京高阳捷迅信息技术有限公司 35/38
滴滴出行科技有限公司 5/176
中国建筑第八工程局有限公司 2/678
北京正东金控信息服务有限公司 0/611
博川环境修复（北京）有限公司 8/8
上海溪同信息技术有限公司 3/3
中国联合网络通信有限公司深圳市分公司 2/5
今日头条有限公司 5/450
天际战鹰（北京）科技有限公司 7/7
垦利蓝海汇洲大酒店有限责任公司 2/2
海南普天恒泰实业发展有限公司 0/1
北京汇嘉人力资源有限公司 6/9
南京力方网络科技有限公司 10/11
北京百闻科技有限公司 2/2
南京伟思医疗科技股份有限公司 1/3
上海圆迈贸易有限公司 20/279
