Cust_Chn_Nm	UNT_NAM	Trx_Amt
北京中和黄埔教育科技有限公司	闽侯县博飞信息科技有限公司	-39696.00
南京力方网络科技有限公司	腾翼信息技术股份有限公司	-200000.00
深圳英派科特广告传媒有限公司	郑州时空隧道信息技术有限公司	20000.00
南京江宁君轩堂中医医院有限公司	南京迈特望科技股份有限公司	80000.00
上海聚杰网络科技有限公司	江苏小旗欧飞科技有限公司	-50000.00
南昌海跃科技有限公司	达明科技有限公司	491209.00
东莞市荣森塑胶原料有限公司	深圳市倍泰健康测量分析技术有限公司	1303200.00
东莞市安高利新能源设备有限公司	佛山市华鸿铜管有限公司	-6503.00
安徽冠盛蓝玻实业有限公司	广东冠东石化产品交易中心有限公司	-33150.00
江阴市澄清环保科技有限公司	无锡西城特种船用板有限公司	210000.00
成都市高新区英之辅英语培训学校有限公司	诺亚正行基金销售有限公司基金代销专户	-1000000.00
徐州艾达尔人力资源有限公司	申通快递有限公司	56549.61
上海创神网络科技有限公司	郑州时空隧道信息技术有限公司	10000.00
杭州禾康包装材料有限公司郑州分公司	郑州顶益食品有限公司	6537805.47
数字广东网络建设有限公司	广东南油对外服务有限公司	-255181.48
博天环境集团股份有限公司湖北分公司	博天环境集团股份有限公司	13145.11
上海萌扬文化有限公司	上海奔越广告有限公司	218870.00
华润置地开发(北京)有限公司	北京摩诘创新科技股份有限公司	21246.30
日邮汽车物流（中国）有限公司上海分公司	上海日邮汽车运输有限公司	-7000.00
吉林省堃喆塑业有限公司	安徽三建工程有限公司	66386.00
上海灵猴智能科技有限公司	马鞍山前港商务管理有限公司	-124807.27
招商银行股份有限公司宁波分行	深圳市新纶科技股份有限公司	-99900.00
贵阳申运易通商贸有限公司	申通快递有限公司	4000.00
泰康资产管理有限责任公司	诺亚正行基金销售有限公司基金代销专户	4994.01
广州市邑城贸易有限公司	广州南科创贸易有限公司	1127672.00
万宠诺信（天津）科技有限公司	申通快递有限公司	-29000.00
武汉传茂社化工有限公司	长江存储科技有限责任公司	6457.14
长煦信息技术咨询（上海）有限公司	长江存储科技有限责任公司	822164.01
华为软件技术有限公司	郑州时空隧道信息技术有限公司	50000.00
河北美嘉信息科技有限公司	深圳硕软技术有限公司	-2000.00
四川中天浩会计师事务所有限公司	广东南油对外服务有限公司	-35212.30
深圳市云充吧科技有限公司	深圳市云充吧科技有限公司	14000.00
上海喵果信息技术有限公司	深圳市稳速网络科技有限公司	-58000.00
腾讯科技（北京）有限公司	北京希格玛物业管理有限责任公司	-1761039.20
友成融资租赁有限公司	上海复出劳务管理有限公司	-98225.50
快云信息科技有限公司	郑州市景安网络科技股份有限公司	5000.00
深圳市邦维装饰工程有限公司	深圳市新纶科技股份有限公司	170500.00
河南德茗投资有限公司	河南世纪联华超市有限公司	1589728.92
顺丰控股集团财务有限公司	甘肃安兴商务服务有限公司	-110848.44
天津云鸟科技有限公司	驿路星辰（北京）科技有限公司	-1000000.00
靖江市城乡建设有限公司	苏州信托有限公司	-166261.89
北京捷睿罗科技有限公司	北京摩诘创新科技股份有限公司	1776000.00
武汉福禄网络科技有限公司	江苏小旗欧飞科技有限公司	-50000.00
成都市金牛区英之辅英语培训学校有限公司	诺亚正行基金销售有限公司基金代销专户	-1000000.00
北京国际信托有限公司	苏州信托有限公司	7116793.14
大广（中国）广告有限公司广州分公司	广东南油对外服务有限公司	-2100.00
深圳市维也纳国际酒店管理有限公司	湖北嘉维酒店管理有限公司	90837.23
上海萌扬文化艺术经纪有限公司	上海奔越广告有限公司	218870.00
陕西唐元物流运输管理有限公司	申通快递有限公司	10000.00
日电贸（苏州）贸易有限公司	江苏宏微科技股份有限公司	10052.00
深圳市泛亚人力资源股份有限公司	深圳海外装饰工程有限公司	46219.04
成都军通通信股份有限公司	成都军通通信股份有限公司	-520000.00
广州俊彦科技有限公司	广州南科创贸易有限公司	300000.00
深圳汇安消防设施工程有限公司	深圳长城家俱装饰工程有限公司	35600.00
上海博加信息科技股份有限公司	福建一滴水供应链管理有限公司	-595631.00
神州黑马（北京）通信技术有限公司	纳什凯旋科技（北京）有限公司	6000.00
北京京巴物流有限公司	申通快递有限公司	-10000.00
招商银行股份有限公司六安分行	深圳市新纶科技股份有限公司	-19500.00
天津市鸟金蛋科技有限公司	驿路星辰（北京）科技有限公司	270.00
苏州聚申百味电子商务有限公司	申通快递有限公司	-75000.00
长盛基金管理有限公司	诺亚正行基金销售有限公司基金代销专户	-56206.50
湖北众城行商业服务有限公司	武汉三江进出口有限公司	-100000.00
上海创蓝文化传播有限公司	杭州手拉手电子商务有限公司	7000.00
北京鑫莱百世货物运输有限公司	申通快递有限公司	20000.00
杭州万桐图文设计有限公司	浙江中通文博服务有限公司	167.00
深圳市康铨机电有限公司	东莞宇龙通信科技有限公司	890000.00
哈尔滨语诺货运代理有限公司	申通快递有限公司	-6000.00
陕西轩铭实业有限责任公司	陕西建工第三建设集团有限公司	3185.00
招商银行股份有限公司北京分行	深圳市新纶科技股份有限公司	-750.00
大华建设项目管理有限公司甘肃分公司	陕西建工第三建设集团有限公司	50000.00
北京冠邦物流有限公司	申通快递有限公司	10000.00
湖南破壳电子商务有限公司	湖南四季南山营养食品有限公司	-270734.70
杭州申通西部快递有限公司	申通快递有限公司	-32000.00
天津顶益食品有限公司	郑州顶益食品有限公司	-21825179.54
深圳市赢时通汽车服务有限公司东莞分公司	深圳市赢时通汽车服务有限公司	18.70
河南世联精工房地产营销策划有限公司	郑州世联兴业房地产咨询有限公司	-61948.83
北京鹏巽机械科技有限公司	北京摩诘创新科技股份有限公司	78850.00
广州易品臻善餐饮管理有限公司上海分公司	广东南油对外服务有限公司	-186457.65
广东凯捷商业数据处理服务有限公司	广东南油对外服务有限公司	-56173.66
上海沃金天然气利用有限公司	天海融合防务装备技术股份有限公司	-4500000.00
泸州中颐农业有限公司	重庆市中颐养老产业有限责任公司	310000.00
广州博冠信息科技有限公司	广东南油对外服务有限公司	-757876.99
北京禹腾科技有限公司	北京圣商教育科技股份有限公司	500.00
深圳市梦天游网络技术有限公司	江苏小旗欧飞科技有限公司	-30000.00
南京瀚柏瑞宸健康管理有限公司	福建一滴水供应链管理有限公司	-3000000.00
武汉霖丰快递有限公司	申通快递有限公司	30000.00
北京云创慧科科技有限公司	北京利通汽车咨询服务有限公司	113000.00
中国广视索福瑞媒介研究有限责任公司	郑州电视台	300000.00
宜兴市金宇冶金电炉设备有限公司	无锡西城特种船用板有限公司	37800.00
日照市岚山区创秋木业有限公司	江苏省建工集团有限公司	50000.00
浙江菜鸟供应链管理有限公司	申通快递有限公司	-975000.00
中通服咨询设计研究院有限公司	南京迈特望科技股份有限公司	300.00
杭州向上电子商务有限公司	江苏小旗欧飞科技有限公司	-1000.00
成都阿齐拉教育科技有限公司	四川东方雨虹防水工程有限公司	72500.00
北京秋胜华物流有限公司	申通快递有限公司	30000.00
北京中洲光华物业管理有限公司	纳什凯旋科技（北京）有限公司	23133.27
北京宇虹荣鑫科技有限责任公司	北京希格玛物业管理有限责任公司	-4.56
四川省外国企业服务有限责任公司	广东南油对外服务有限公司	299736.81
大连中亿通船舶工程有限公司	大连船舶重工集团海洋工程有限公司	368701.54
富士施乐融资租赁（中国）有限公司	湖北长源房地产开发有限责任公司	1825.38
中化石油广东有限公司	广东南油对外服务有限公司	-62380.00
深圳市捷洋服饰有限公司	世纪金花股份有限公司	10753.53
量子出行（广州）科技有限公司	闽侯县博飞信息科技有限公司	-10700.00
甄之贸易（上海）有限公司	世纪金花股份有限公司	8894.71
深圳市赢时通汽车服务有限公司广州分公司	深圳市赢时通汽车服务有限公司	-61000.00
深圳忆联信息系统有限公司	长江存储科技有限责任公司	-116215.57
天弘创新资产管理有限公司	丹东银行股份有限公司	50000000.00
昆山红璞公寓管理有限公司	浙江中通文博服务有限公司	9900.00
华润置地（成都）物业服务有限公司重庆分公司	重庆比格唐贸易股份有限公司	3621.10
长沙顶益食品有限公司	郑州顶益食品有限公司	-14965.18
浙江聚合汇付信息科技有限公司	江苏小旗欧飞科技有限公司	-20000.00
爱康健康科技集团有限公司	爱康国宾健康体检管理集团有限公司	-182400.00
上海华测品标检测技术有限公司	昌硕科技（上海）有限公司	4800.00
南京颐养天信息科技有限公司	南京迈特望科技股份有限公司	-9500000.00
美埃（中国）环境科技股份有限公司	深圳市天道医药有限公司	3380.00
珠海集思信息技术有限公司	福建一滴水供应链管理有限公司	-23000.00
润塑（福建）科技有限公司	群星进出口有限公司	-168934.00
鲁证期货股份有限公司	鲁证期货股份有限公司	-51400000.00
汤臣倍健股份有限公司	广东南油对外服务有限公司	-27063.39
亚太建设科技信息研究院有限公司	安徽四建控股集团有限公司	1500.00
石家庄达安建筑机械设备租赁有限公司	江苏省建工集团有限公司	200000.00
深圳中天精装股份有限公司	青岛龙湖置业拓展有限公司	-50000.00
北京顺东通达物流有限公司	申通快递有限公司	30000.00
西马克工程（中国）有限公司	上海复出劳务管理有限公司	-9771.70
天津市远鸿机械设备租赁有限公司	天津第三市政公路工程有限公司	-40500.00
斯林姆（北京）国际教育咨询有限公司	郑州新东方培训学校	4660.00
亿祺创新（北京）科技有限公司	郑州新东方培训学校	16000.00
淮南众星网络科技有限公司	郑州时空隧道信息技术有限公司	15176.71
南京伟思医疗科技股份有限公司	湖北嘉维酒店管理有限公司	-12896.00
北京慧谷阳光保洁服务有限公司	纳什凯旋科技（北京）有限公司	9400.00
前锦网络信息技术（上海）有限公司	广东南油对外服务有限公司	-261.20
陕西新兴众海建设工程有限公司	陕西建工第三建设集团有限公司	-100000.00
紫金财产保险股份有限公司	苏州信托有限公司	-1800.00
深圳小鸡鸡餐饮服务有限公司	深圳市金瑞格融资担保有限公司	-9600.00
台州市飞龙山庄建设开发有限公司	浙江中通文博服务有限公司	-500.00
无锡衣锦繁华电子商务有限公司	浙江朵宝网络科技有限公司	7247.00
四川乐彩科技有限公司	深圳硕软技术有限公司	-54000.00
唯品会（沈阳）电子商务有限公司	广东南油对外服务有限公司	-1798.89
杭州贝兴电子商务有限公司	申通快递有限公司	-39097.69
上海途远美宅置业顾问有限公司	合肥建工集团有限公司	277173.00
重庆德贵源酒业有限公司	酒圣科技股份有限公司	-160000.00
浙江中通文博服务有限公司	浙江中通文博服务有限公司	30000000.00
南京三胞品牌管理有限公司	三胞集团有限公司	200.00
北京双鑫京杭物流有限公司	申通快递有限公司	50000.00
佛山市华鸿铜管有限公司	佛山市华鸿铜管有限公司	-550000.00
武汉昊阳科技有限公司	深圳硕软技术有限公司	-10000.00
瓴里网络科技（上海）有限公司	闽侯县博飞信息科技有限公司	-166998.66
深圳海外装饰工程有限公司	深圳海外装饰工程有限公司	3000000.00
俊华科技发展（北京）有限公司	北京鼎瑞国际管理咨询有限公司	10000000.00
石家庄甘泉机械设备有限公司	东北特殊钢集团股份有限公司	-10000.00
深圳市新纶医疗有限公司	深圳市新纶科技股份有限公司	-348000.00
光大兴陇信托有限责任公司	丹东银行股份有限公司	100000000.00
陕西唯品会物流有限公司	广东南油对外服务有限公司	-7219.56
成都卓影科技股份有限公司	闽侯县博飞信息科技有限公司	-38000.00
共鸣众泰（天津）国际融资租赁有限公司	北京众鸣在线科技有限公司	-70000.00
深圳世联行集团股份有限公司	郑州世联兴业房地产咨询有限公司	800000.00
英诺激光科技股份有限公司	深圳市新纶科技股份有限公司	-243801.93
招商银行股份有限公司贵阳分行	深圳市新纶科技股份有限公司	-33000.00
拉卡拉信息科技（上海）有限公司	江苏千米网络科技股份有限公司	-19800.00
