UNT_NAM	UNT_ADD	UNT_TEL	UNT_ID	UNT_ID_TYP	UNT_LVL	ADR_PRV	ADR_CTY	ADR_DST	PRD_TYP	DTA_SRC	CRE_DTE	BBK_NBR	ACT_IND	PRS_INF
广西南宁仓满贸易有限公司	 	 	 	 	BLK	 	南宁	 	?	BLKS	2020/10/27	771	Y	洗钱
太原市远东食品有限公司	 	 	 	 	BLK	 	太原	 	?	BLKS	2020/10/27	351	Y	洗钱
宜信普惠信息咨询（北京）有限公司泰州人民东路分公司	 	 	 	 	BLK	 	泰州	 	?	BLKS	2020/10/27	523	Y	洗钱
昆明肯图经贸有限公司	 	 	 	 	BLK	 	昆明	 	?	BLKS	2020/10/27	871	Y	洗钱
福州市鼓楼区鼓西街道王水仙体育用品商行	 	 	 	 	BLK	 	福州	 	?	BLKS	2020/10/27	591	Y	洗钱
大连彤辉工业制品有限公司	 	 	 	 	BLK	 	大连	 	?	BLKS	2020/10/27	411	Y	洗钱
慈溪市一帆机械电器有限公司	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	106	Y	洗钱
丹东京奥贸易有限公司	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	215	Y	洗钱
慈溪市桥头染厂	 	 	 	 	BLK	 	宁波	 	?	BLKS	2020/10/27	574	Y	洗钱
宜信普惠信息咨询（北京）有限公司赣州章贡区分公司	 	 	 	 	BLK	 	赣州	 	?	BLKS	2020/10/27	797	Y	洗钱
南京长三角新能源有限公司	 	 	 	 	BLK	 	南京	 	?	BLKS	2020/10/27	125	Y	洗钱
镇江市多成工具有限公司	 	 	 	 	BLK	 	镇江	 	?	BLKS	2020/10/27	612	Y	洗钱
湖州玉炫贸易有限公司	 	 	 	 	BLK	 	湖州	 	?	BLKS	2020/10/27	572	Y	洗钱
常胜国际有限公司	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	211	Y	洗钱
合肥清登硕建筑工程有限公司	 	 	 	 	BLK	 	合肥	 	?	BLKS	2020/10/27	551	Y	洗钱
陕西智华汽车贸易有限公司	 	 	 	 	BLK	 	西安	 	VIP	BLKS	2020/10/27	129	Y	洗钱
深圳市鼎益丰资产管理股份有限公司	 	 	 	 	BLK	 	深圳	 	?	BLKS	2020/10/27	755	Y	洗钱
长沙倪琦贸易有限公司	 	 	 	 	BLK	 	长沙	 	?	BLKS	2020/7/17	731	Y	洗钱
广州只创制电子商务有限公司	?	?	?	?	BLK	广东	广州	?	CMG	BLKM	2020/3/23	120	QZ	养公积金
台州市雯馨清洁有限公司	 	 	 	 	BLK	 	台州	 	?	BLKS	2020/10/27	576	Y	洗钱
GW TRADING LIMITED	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	265	Y	洗钱
天津润昌股权投资基金有限公司	 	 	 	 	BLK	 	上海	 	?	BLKS	2020/10/27	121	Y	洗钱
暖盈滋禧（北京）科技有限公司	 	 	 	 	BLK	 	北京	 	?	BLKS	2020/7/17	110	Y	洗钱
湖南东岱信息服务有限公司	 	 	 	 	BLK	 	娄底	 	?	BLKS	2020/10/27	738	Y	洗钱
深圳市跨结贸易有限公司	 	 	 	 	BLK	 	深圳	 	?	BLKS	2020/10/27	755	Y	洗钱
深圳市恒大饮品有限公司湖北分公司	?	?	?	?	BLK	?	武汉	?	?	BLKM	2020/7/17	127	Y	工商非正常经营
北京圣祥瑞光商贸有限公司	 	 	 	 	BLK	 	北京	 	?	BLKS	2020/10/27	110	Y	洗钱
重庆幽幽水月电子商务有限公司	 	 	 	 	BLK	 	重庆	 	?	BLKS	2020/10/27	123	Y	洗钱
INTERMARINE (ASIA) LIMITED	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	211	Y	洗钱
伊朗北迪斯贸易有限公司南京代表处	 	 	 	 	BLK	 	南京	 	?	BLKS	2020/10/27	125	Y	洗钱
宜昌开发区吉昌日用品商行	 	 	 	 	BLK	 	宜昌	 	?	BLKS	2020/10/27	717	Y	洗钱
东莞市南城旭明五金店	 	 	 	 	BLK	 	东莞	 	?	BLKS	2020/10/27	769	Y	洗钱
宜信普惠信息咨询（北京）有限公司丹东分公司	 	 	 	 	BLK	 	丹东	 	?	BLKS	2020/10/27	415	Y	洗钱
重庆市大喉咙广告有限公司	?	?	?	?	BLK	重庆	重庆	?	CMG	BLKM	2019/9/2	123	QZ	养个税
北京厚正德商贸有限公司	 	 	 	 	BLK	 	北京	 	?	BLKS	2020/10/27	110	Y	洗钱
重庆比格唐贸易股份有限公司	 	 	 	 	BLK	 	重庆	 	?	BLKS	2020/10/27	123	Y	洗钱
南昌瑞成科技有限公司	 	 	 	 	BLK	 	南昌	 	?	BLKS	2020/10/27	791	Y	洗钱
湖南省慧嘉实业股份有限公司	 	 	 	 	BLK	 	株洲	 	?	BLKS	2020/10/27	733	Y	洗钱
辽宁博亿恒通网络科技有限公司	 	 	 	 	BLK	 	沈阳	 	?	BLKS	2020/10/27	124	Y	洗钱
姑苏区涵漂淑浮五金店	 	 	 	 	BLK	 	苏州	 	?	BLKS	2020/10/27	512	Y	洗钱
沈阳市安青祥云建材经销处	 	 	 	 	BLK	 	沈阳	 	?	BLKS	2020/7/17	124	Y	洗钱
宜昌峰庭装饰设计有限公司	 	 	 	 	BLK	 	宜昌	 	?	BLKS	2020/10/27	717	Y	洗钱
深圳市云充吧科技有限公司	?	?	?	?	BLK	?	天津	?	?	BLKM	2020/7/17	122	Y	失信被执行人
广州琦舒房地产有限公司	 	 	 	 	BLK	 	广州	 	?	BLKS	2020/10/27	120	Y	洗钱
北京天和融汇投资基金管理有限公司沈阳分公司	 	 	 	 	BLK	 	沈阳	 	?	BLKS	2020/10/27	124	Y	洗钱
西安软通动力技术服务有限公司	?	?	?	?	BLK	?	西安	?	?	BLKM	2020/10/28		Y	失信被执行人
广州佑科自动化设备有限公司	?	?	?	?	BLK	广东	广州	?	CMG	BLKM	2020/3/23	120	QZ	养公积金
宜信普惠信息咨询（北京）有限公司东营分公司	 	 	 	 	BLK	 	东营	 	?	BLKS	2020/10/27	546	Y	洗钱
SWIDAN INTERNATIONAL TRADING CO., LIMITED	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	220	Y	洗钱
北京食味源科贸有限公司	 	 	 	 	BLK	 	北京通州	 	?	BLKS	2020/10/27	110	Y	洗钱
深圳市泽圆装饰有限公司	?	?	?	?	BLK	广东	深圳	?	CMG	BLKM	2019/12/20	755	QZ	伪造公积金账户
深圳市通成华贸易有限公司	 	 	 	 	BLK	 	深圳	 	?	BLKS	2020/10/27	755	Y	洗钱
郑州世联兴业房地产咨询有限公司	?	?	?	?	BLK	?	郑州	?	?	BLKM	2020/10/28		Y	失信被执行人
香港粤海国际贸易有限公司广州代表处	 	 	 	 	BLK	 	广州	 	?	BLKS	2020/10/27	120	Y	洗钱
北京富蓝华亿商贸有限公司	 	 	 	 	BLK	 	北京通州	 	?	BLKS	2020/10/27	110	Y	洗钱
